                                                                               
{'loss': '0.03583', 'grad_norm': '0.05726', 'learning_rate': '1.86e-05', 'epoch': '0.4891'}
{'loss': '0.02957', 'grad_norm': '0.02374', 'learning_rate': '1.858e-05', 'epoch': '0.4913'}
{'loss': '0.06401', 'grad_norm': '0.0621', 'learning_rate': '1.857e-05', 'epoch': '0.4935'}
{'loss': '0.014', 'grad_norm': '0.01421', 'learning_rate': '1.855e-05', 'epoch': '0.4957'}
{'loss': '0.06436', 'grad_norm': '0.0148', 'learning_rate': '1.853e-05', 'epoch': '0.4979'}
{'loss': '0.04796', 'grad_norm': '0.1043', 'learning_rate': '1.852e-05', 'epoch': '0.5001'}
{'loss': '0.04436', 'grad_norm': '0.01557', 'learning_rate': '1.85e-05', 'epoch': '0.5023'}
{'loss': '0.05346', 'grad_norm': '1.042', 'learning_rate': '1.849e-05', 'epoch': '0.5045'}
{'loss': '0.06148', 'grad_norm': '0.1197', 'learning_rate': '1.847e-05', 'epoch': '0.5066'}
{'loss': '0.02202', 'grad_norm': '15.59', 'learning_rate': '1.845e-05', 'epoch': '0.5088'}
{'loss': '0.02424', 'grad_norm': '0.02234', 'learning_rate': '1.844e-05', 'epoch': '0.511'}
{'loss': '0.03851', 'grad_norm': '0.01962', 'learning_rate': '1.842e-05', 'epoch': '0.5132'}
{'loss': '0.03125', 'grad_norm': '0.01808', 'learning_rate': '1.84e-05', 'epoch': '0.5154'}
{'loss': '0.05639', 'grad_norm': '0.1187', 'learning_rate': '1.839e-05', 'epoch': '0.5176'}
{'loss': '0.02982', 'grad_norm': '0.01332', 'learning_rate': '1.837e-05', 'epoch': '0.5198'}
{'loss': '0.05084', 'grad_norm': '0.06999', 'learning_rate': '1.836e-05', 'epoch': '0.522'}
{'loss': '0.05824', 'grad_norm': '4.227', 'learning_rate': '1.834e-05', 'epoch': '0.5242'}
{'loss': '0.0624', 'grad_norm': '0.03788', 'learning_rate': '1.832e-05', 'epoch': '0.5264'}
{'loss': '0.04971', 'grad_norm': '0.1287', 'learning_rate': '1.831e-05', 'epoch': '0.5286'}
{'loss': '0.02457', 'grad_norm': '0.007055', 'learning_rate': '1.829e-05', 'epoch': '0.5308'}
{'loss': '0.0131', 'grad_norm': '0.04964', 'learning_rate': '1.827e-05', 'epoch': '0.533'}
{'loss': '0.05304', 'grad_norm': '0.01178', 'learning_rate': '1.826e-05', 'epoch': '0.5352'}
{'loss': '0.04663', 'grad_norm': '3.386', 'learning_rate': '1.824e-05', 'epoch': '0.5374'}
{'loss': '0.04951', 'grad_norm': '0.01439', 'learning_rate': '1.823e-05', 'epoch': '0.5395'}
{'loss': '0.04619', 'grad_norm': '0.244', 'learning_rate': '1.821e-05', 'epoch': '0.5417'}
{'loss': '0.04258', 'grad_norm': '0.05615', 'learning_rate': '1.819e-05', 'epoch': '0.5439'}
{'loss': '0.03851', 'grad_norm': '10.87', 'learning_rate': '1.818e-05', 'epoch': '0.5461'}
{'loss': '0.02261', 'grad_norm': '0.007468', 'learning_rate': '1.816e-05', 'epoch': '0.5483'}
{'loss': '0.06999', 'grad_norm': '0.04983', 'learning_rate': '1.814e-05', 'epoch': '0.5505'}
{'loss': '0.04287', 'grad_norm': '0.09404', 'learning_rate': '1.813e-05', 'epoch': '0.5527'}
{'loss': '0.04035', 'grad_norm': '0.09256', 'learning_rate': '1.811e-05', 'epoch': '0.5549'}
